,periodo,Total,cod_prov,provincias,cod_actividad,ramas de actividad
0,2021,884324,2,Albacete,1," Agricultura, ganadería, silvicultura y pesca"
1,2020,768976,2,Albacete,1," Agricultura, ganadería, silvicultura y pesca"
2,2019,791464,2,Albacete,1," Agricultura, ganadería, silvicultura y pesca"
3,2021,1397006,2,Albacete,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
4,2020,1194438,2,Albacete,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
5,2019,1207915,2,Albacete,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
6,2021,1018831,2,Albacete,3, - De las cuales: Industria manufacturera
7,2020,910902,2,Albacete,3, - De las cuales: Industria manufacturera
8,2019,918972,2,Albacete,3, - De las cuales: Industria manufacturera
9,2021,465911,2,Albacete,7, Construcción
10,2020,415182,2,Albacete,7, Construcción
11,2019,497842,2,Albacete,7, Construcción
12,2021,1559382,2,Albacete,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
13,2020,1341669,2,Albacete,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
14,2019,1646811,2,Albacete,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
15,2021,1440261,2,Albacete,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
16,2020,1392792,2,Albacete,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
17,2019,1389258,2,Albacete,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
18,2021,2091603,2,Albacete,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
19,2020,2055063,2,Albacete,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
20,2019,2153181,2,Albacete,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
21,2021,547312,3,Alicante/Alacant,1," Agricultura, ganadería, silvicultura y pesca"
22,2020,645872,3,Alicante/Alacant,1," Agricultura, ganadería, silvicultura y pesca"
23,2019,576207,3,Alicante/Alacant,1," Agricultura, ganadería, silvicultura y pesca"
24,2021,3627964,3,Alicante/Alacant,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
25,2020,3166272,3,Alicante/Alacant,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
26,2019,3280477,3,Alicante/Alacant,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
27,2021,2916222,3,Alicante/Alacant,3, - De las cuales: Industria manufacturera
28,2020,2559700,3,Alicante/Alacant,3, - De las cuales: Industria manufacturera
29,2019,2686800,3,Alicante/Alacant,3, - De las cuales: Industria manufacturera
30,2021,2556047,3,Alicante/Alacant,7, Construcción
31,2020,2436323,3,Alicante/Alacant,7, Construcción
32,2019,2867928,3,Alicante/Alacant,7, Construcción
33,2021,9851680,3,Alicante/Alacant,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
34,2020,8362099,3,Alicante/Alacant,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
35,2019,10227248,3,Alicante/Alacant,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
36,2021,8929332,3,Alicante/Alacant,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
37,2020,8549617,3,Alicante/Alacant,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
38,2019,8710933,3,Alicante/Alacant,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
39,2021,8216082,3,Alicante/Alacant,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
40,2020,7846163,3,Alicante/Alacant,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
41,2019,8226777,3,Alicante/Alacant,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
