,value,percentage,type,cod_ccaa,ccaa,month,year
0,25288.605,0.0295168516408729,Hidráulica,4,Andalucía,1,2019
1,33933.35,0.0307789367489006,Hidráulica,4,Andalucía,2,2019
2,35913.0,0.0296445386297287,Hidráulica,4,Andalucía,3,2019
3,44050.848,0.0413396613811428,Hidráulica,4,Andalucía,4,2019
4,88535.452,0.0684968335557468,Hidráulica,4,Andalucía,5,2019
5,92464.391,0.0791740014735905,Hidráulica,4,Andalucía,6,2019
6,91236.63,0.0792833734193486,Hidráulica,4,Andalucía,7,2019
7,80161.437,0.0665704383980414,Hidráulica,4,Andalucía,8,2019
8,40095.141,0.0450968948847209,Hidráulica,4,Andalucía,9,2019
9,21984.146,0.0245858157435164,Hidráulica,4,Andalucía,10,2019
10,21611.63,0.0206324108893118,Hidráulica,4,Andalucía,11,2019
11,33252.448,0.0330008791630564,Hidráulica,4,Andalucía,12,2019
12,547209.843,0.6387031531496647,Eólica,4,Andalucía,1,2019
13,714535.96,0.6481133491875982,Eólica,4,Andalucía,2,2019
14,705153.705,0.5820721256305187,Eólica,4,Andalucía,3,2019
15,607656.868,0.5702575614218778,Eólica,4,Andalucía,4,2019
16,612356.002,0.4737587734442987,Eólica,4,Andalucía,5,2019
17,454884.57,0.3895016365326369,Eólica,4,Andalucía,6,2019
18,456346.421,0.3965587473444193,Eólica,4,Andalucía,7,2019
19,495339.705,0.4113571631432519,Eólica,4,Andalucía,8,2019
20,375841.662,0.4227268317752717,Eólica,4,Andalucía,9,2019
21,430931.821,0.4819295845799073,Eólica,4,Andalucía,10,2019
22,764217.456,0.7295908990194919,Eólica,4,Andalucía,11,2019
23,684672.055,0.6794922212456832,Eólica,4,Andalucía,12,2019
24,100175.137,0.1169243877601442,Solar fotovoltaica,4,Andalucía,1,2019
25,119956.735,0.1088056663774615,Solar fotovoltaica,4,Andalucía,2,2019
26,147364.111,0.1216423323357872,Solar fotovoltaica,4,Andalucía,3,2019
27,132367.448,0.1242206615002288,Solar fotovoltaica,4,Andalucía,4,2019
28,172457.989,0.1334248134622029,Solar fotovoltaica,4,Andalucía,5,2019
29,166634.356,0.1426831302819571,Solar fotovoltaica,4,Andalucía,6,2019
30,175669.523,0.1526543932015885,Solar fotovoltaica,4,Andalucía,7,2019
31,182499.378,0.1515574577440505,Solar fotovoltaica,4,Andalucía,8,2019
32,169840.831,0.1910279877240148,Solar fotovoltaica,4,Andalucía,9,2019
33,174440.057,0.1950838162960942,Solar fotovoltaica,4,Andalucía,10,2019
34,101305.46,0.0967153276291861,Solar fotovoltaica,4,Andalucía,11,2019
35,120605.521,0.1196930892101078,Solar fotovoltaica,4,Andalucía,12,2019
36,74526.679,0.0869875158131483,Solar térmica,4,Andalucía,1,2019
37,125159.24,0.1135245512600575,Solar térmica,4,Andalucía,2,2019
38,194932.656,0.1609079901703454,Solar térmica,4,Andalucía,3,2019
39,170591.365,0.1600920205587628,Solar térmica,4,Andalucía,4,2019
40,330398.724,0.2556181269042274,Solar térmica,4,Andalucía,5,2019
41,341081.315,0.29205591735768,Solar térmica,4,Andalucía,6,2019
42,296144.8,0.2573457476958357,Solar térmica,4,Andalucía,7,2019
43,311366.833,0.2585760354498104,Solar térmica,4,Andalucía,8,2019
44,183963.277,0.2069121683726662,Solar térmica,4,Andalucía,9,2019
45,138110.375,0.154454770816113,Solar térmica,4,Andalucía,10,2019
46,35561.83,0.0339505298089897,Solar térmica,4,Andalucía,11,2019
47,38142.147,0.0378535855214791,Solar térmica,4,Andalucía,12,2019
48,109551.171,0.1278680916361698,Otras renovables,4,Andalucía,1,2019
49,108900.817,0.0987774964259821,Otras renovables,4,Andalucía,2,2019
50,128090.7,0.1057330132336198,Otras renovables,4,Andalucía,3,2019
51,110916.655,0.1040900951379878,Otras renovables,4,Andalucía,4,2019
52,88799.932,0.068701452633524,Otras renovables,4,Andalucía,5,2019
53,112798.42,0.0965853143541354,Otras renovables,4,Andalucía,6,2019
54,131368.872,0.1141577383388076,Otras renovables,4,Andalucía,7,2019
55,134792.315,0.1119389052648456,Otras renovables,4,Andalucía,8,2019
56,119347.819,0.1342361172433262,Otras renovables,4,Andalucía,9,2019
57,128713.653,0.1439460125643688,Otras renovables,4,Andalucía,10,2019
58,124763.861,0.1191108326530203,Otras renovables,4,Andalucía,11,2019
59,130950.924,0.1299602248596733,Otras renovables,4,Andalucía,12,2019
60,43652.072,0.0588010856657207,Hidráulica,4,Andalucía,1,2020
61,31195.375,0.0319109317567246,Hidráulica,4,Andalucía,2,2020
