,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total,cod_prov,provincias
0,0-15 años,Españoles,Hombres,2021,27304.0,2,Albacete
1,0-15 años,Españoles,Hombres,2020,27979.0,2,Albacete
2,0-15 años,Españoles,Hombres,2019,28513.0,2,Albacete
3,0-15 años,Españoles,Mujeres,2021,25547.0,2,Albacete
4,0-15 años,Españoles,Mujeres,2020,25953.0,2,Albacete
5,0-15 años,Españoles,Mujeres,2019,26515.0,2,Albacete
6,0-15 años,Extranjeros,Hombres,2021,2452.0,2,Albacete
7,0-15 años,Extranjeros,Hombres,2020,2445.0,2,Albacete
8,0-15 años,Extranjeros,Hombres,2019,2278.0,2,Albacete
9,0-15 años,Extranjeros,Mujeres,2021,2248.0,2,Albacete
10,0-15 años,Extranjeros,Mujeres,2020,2191.0,2,Albacete
11,0-15 años,Extranjeros,Mujeres,2019,2157.0,2,Albacete
12,16-64 años,Españoles,Hombres,2021,118339.0,2,Albacete
13,16-64 años,Españoles,Hombres,2020,118606.0,2,Albacete
14,16-64 años,Españoles,Hombres,2019,119164.0,2,Albacete
15,16-64 años,Españoles,Mujeres,2021,114163.0,2,Albacete
16,16-64 años,Españoles,Mujeres,2020,114793.0,2,Albacete
17,16-64 años,Españoles,Mujeres,2019,115270.0,2,Albacete
18,16-64 años,Extranjeros,Hombres,2021,11655.0,2,Albacete
19,16-64 años,Extranjeros,Hombres,2020,11488.0,2,Albacete
20,16-64 años,Extranjeros,Hombres,2019,10695.0,2,Albacete
21,16-64 años,Extranjeros,Mujeres,2021,9637.0,2,Albacete
22,16-64 años,Extranjeros,Mujeres,2020,9436.0,2,Albacete
23,16-64 años,Extranjeros,Mujeres,2019,8781.0,2,Albacete
24,65 y más,Españoles,Hombres,2021,33108.0,2,Albacete
25,65 y más,Españoles,Hombres,2020,33242.0,2,Albacete
26,65 y más,Españoles,Hombres,2019,32971.0,2,Albacete
27,65 y más,Españoles,Mujeres,2021,41204.0,2,Albacete
28,65 y más,Españoles,Mujeres,2020,41373.0,2,Albacete
29,65 y más,Españoles,Mujeres,2019,41148.0,2,Albacete
30,65 y más,Extranjeros,Hombres,2021,347.0,2,Albacete
31,65 y más,Extranjeros,Hombres,2020,321.0,2,Albacete
32,65 y más,Extranjeros,Hombres,2019,290.0,2,Albacete
33,65 y más,Extranjeros,Mujeres,2021,460.0,2,Albacete
34,65 y más,Extranjeros,Mujeres,2020,443.0,2,Albacete
35,65 y más,Extranjeros,Mujeres,2019,385.0,2,Albacete
36,0-15 años,Españoles,Hombres,2021,121579.0,3,Alicante/Alacant
