,value,percentage,datetime
0,227814.858,0.1428110905827463,2021-01-01T00:00:00.000+01:00
1,306758.08,0.2551748716454709,2021-02-01T00:00:00.000+01:00
2,270285.922,0.17489444974620724,2021-03-01T00:00:00.000+01:00
3,235923.132,0.19734208697929406,2021-04-01T00:00:00.000+02:00
4,289607.81,0.22427371900209483,2021-05-01T00:00:00.000+02:00
5,275771.771,0.2540784589297809,2021-06-01T00:00:00.000+02:00
6,226436.584,0.1665733081183365,2021-07-01T00:00:00.000+02:00
7,178880.721,0.1563856132445995,2021-08-01T00:00:00.000+02:00
8,122543.897,0.15278982651606052,2021-09-01T00:00:00.000+02:00
9,111800.572,0.11943489848512882,2021-10-01T00:00:00.000+02:00
10,102818.548,0.062268645580299035,2021-11-01T00:00:00.000+01:00
11,300180.331,0.22593349002272997,2021-12-01T00:00:00.000+01:00
