,value,percentage,datetime
0,65930.749,0.05041080674488686,2021-01-01T00:00:00.000+01:00
1,107799.992,0.09184145993403829,2021-02-01T00:00:00.000+01:00
2,72057.474,0.06867171880464741,2021-03-01T00:00:00.000+01:00
3,88528.372,0.09902218719086213,2021-04-01T00:00:00.000+02:00
4,84699.337,0.06735941808221968,2021-05-01T00:00:00.000+02:00
5,74257.308,0.06748173894848139,2021-06-01T00:00:00.000+02:00
6,68318.271,0.05497342621366298,2021-07-01T00:00:00.000+02:00
7,53936.446,0.05064900335218582,2021-08-01T00:00:00.000+02:00
8,51631.927,0.0568129475006624,2021-09-01T00:00:00.000+02:00
9,27011.151,0.03168115837274447,2021-10-01T00:00:00.000+02:00
10,37958.265,0.032629610608382965,2021-11-01T00:00:00.000+01:00
11,58865.234,0.04237582655650409,2021-12-01T00:00:00.000+01:00
