,value,percentage,datetime
0,1156726.799,0.4080999685617893,2021-01-01T00:00:00.000+01:00
1,1448328.696,0.46684870463552225,2021-02-01T00:00:00.000+01:00
2,1206854.01,0.45787884220914166,2021-03-01T00:00:00.000+01:00
3,688403.318,0.41265639253471764,2021-04-01T00:00:00.000+02:00
4,290441.517,0.17963946606847653,2021-05-01T00:00:00.000+02:00
5,437704.852,0.30704791687288,2021-06-01T00:00:00.000+02:00
6,621623.371,0.3659361409128856,2021-07-01T00:00:00.000+02:00
7,890971.875,0.46360179709342664,2021-08-01T00:00:00.000+02:00
8,670404.721,0.42076179303761996,2021-09-01T00:00:00.000+02:00
9,436414.186,0.271740379909345,2021-10-01T00:00:00.000+02:00
10,418506.807,0.22479702854509442,2021-11-01T00:00:00.000+01:00
11,499906.223,0.2367874386618515,2021-12-01T00:00:00.000+01:00
