,value,percentage,datetime
0,4.598,0.00714735949523911,2021-01-01T00:00:00.000+01:00
1,4.886,0.008441982535497447,2021-02-01T00:00:00.000+01:00
2,5.995,0.01093829397280844,2021-03-01T00:00:00.000+01:00
3,6.145,0.01224674449843154,2021-04-01T00:00:00.000+02:00
4,7.292,0.012808914948593951,2021-05-01T00:00:00.000+02:00
5,7.16,0.014436095076606065,2021-06-01T00:00:00.000+02:00
6,6.727,0.013831048205119772,2021-08-01T00:00:00.000+02:00
7,6.098,0.012981386888118028,2021-09-01T00:00:00.000+02:00
8,6.029,0.011600901287471065,2021-10-01T00:00:00.000+02:00
9,2.005,0.004158012780963974,2021-11-01T00:00:00.000+01:00
10,3.66,1.0,2021-12-01T00:00:00.000+01:00
