,value,percentage,datetime
0,4832.856,0.037240765284543606,2019-01-01T00:00:00.000+01:00
1,6169.385,0.05918480432450164,2019-02-01T00:00:00.000+01:00
2,8314.541,0.06759724031938227,2019-03-01T00:00:00.000+01:00
3,5478.406,0.04160348134731706,2019-04-01T00:00:00.000+02:00
4,9242.694,0.07055451693971715,2019-05-01T00:00:00.000+02:00
5,10018.641,0.07468900334804204,2019-06-01T00:00:00.000+02:00
6,11466.179,0.057185857654453186,2019-07-01T00:00:00.000+02:00
7,11126.529,0.0546042986252797,2019-08-01T00:00:00.000+02:00
8,4749.934,0.027503875581531206,2019-09-01T00:00:00.000+02:00
9,3332.928,0.018856340985861583,2019-10-01T00:00:00.000+02:00
10,3980.782,0.018170329137911893,2019-11-01T00:00:00.000+01:00
11,3543.821,0.022998065709168947,2019-12-01T00:00:00.000+01:00
