Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2022;47.475.420
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2021;47.385.107
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2020;47.450.795
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2019;47.026.208
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2022;385.727
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2021;386.464
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2020;388.270
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2019;388.167
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.901.594
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.881.762
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.879.888
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.858.683
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2022;740.534
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2021;731.792
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2020;727.945
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2019;716.820
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2022;334.412
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2021;333.626
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2020;333.940
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2019;331.549
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.004.686
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.011.792
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.018.784
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.022.800
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2022;158.140
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2021;158.421
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2020;157.664
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2019;157.640
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2022;666.971
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2021;669.943
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2020;672.137
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2019;673.559
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.176.659
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.173.008
